CHEMBL_ID_compound	canonical_smiles	CHEMBL_ID_protein	accession	L1	L2	L3	L4	L5	L6	L7	L8	year	binding_type	activity_id	pchembl_value	binding_binary	Subset
CHEMBL1209705	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C(=O)OC(C)(C)C)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383118	6.32	1	train
CHEMBL1209802	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)N7CCC(F)(F)C7	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383136	8.62	1	train
CHEMBL1209801	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)N7CC[C@H](O)C7	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383135	8.85	1	train
CHEMBL1209800	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)N7CCCC7	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383134	8.8	1	train
CHEMBL1209799	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)N7CCOCC7	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383133	9.0	1	train
CHEMBL1209798	CCNC(C)(C)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383132	8.64	1	train
CHEMBL1209797	CNC(C)(C)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383131	8.44	1	train
CHEMBL1209796	CN(C)C(C)(C)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383130	8.62	1	train
CHEMBL1209795	CC(=O)NC(C)(C)[C@@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383129	6.82	1	train
CHEMBL1209794	CC(=O)NC(C)(C)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383128	8.21	1	train
CHEMBL1208802	CC(C)(C#N)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(F)c(Cl)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383127	8.14	1	train
CHEMBL1209793	CC(C)(C#N)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(F)c(F)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383126	8.12	1	train
CHEMBL1209792	COCC(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC4(CC3)O[C@@H](c5cc(C)c(Cl)cc45)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383125	7.35	1	train
CHEMBL1209791	CCC(CC)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC4(CC3)O[C@@H](c5cc(C)c(Cl)cc45)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383124	7.92	1	train
CHEMBL1209790	CC(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC4(CC3)O[C@@H](c5cc(C)c(Cl)cc45)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383123	8.18	1	train
CHEMBL1209789	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(CC5CCOCC5)C[C@H]4c6ccc(F)cc6F)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383122	7.28	1	train
CHEMBL1209788	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383121	8.7	1	train
CHEMBL1209707	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C(C)(C)CO)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383120	8.55	1	train
CHEMBL1209706	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CNC[C@H]4c5ccc(F)cc5F)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383119	7.82	1	train
CHEMBL1209704	Cc1cc2[C@@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C(C)(C)C)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383117	7.5	1	train
CHEMBL1209787	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C(C)(C)C)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383116	9.05	1	train
