chembl_id	accession	pref_name	organism
CHEMBL2363135		Bacterial 70S ribosome	Bacteria
CHEMBL2363853		70S ribosome	Streptococcus pneumoniae
CHEMBL2363965		70S ribosome	Mycobacterium tuberculosis
CHEMBL2364022		70S ribosome	Pseudomonas aeruginosa
CHEMBL2364096		70S ribosome	Staphylococcus aureus
CHEMBL2364103		70S ribosome	Streptococcus pyogenes
CHEMBL2363135		Bacterial 70S ribosome	Bacteria
CHEMBL2363853		70S ribosome	Streptococcus pneumoniae
CHEMBL2363965		70S ribosome	Mycobacterium tuberculosis
CHEMBL2364022		70S ribosome	Pseudomonas aeruginosa
CHEMBL2364096		70S ribosome	Staphylococcus aureus
CHEMBL2364103		70S ribosome	Streptococcus pyogenes
CHEMBL2363135		Bacterial 70S ribosome	Bacteria
CHEMBL2363853		70S ribosome	Streptococcus pneumoniae
CHEMBL2363965		70S ribosome	Mycobacterium tuberculosis
CHEMBL2364022		70S ribosome	Pseudomonas aeruginosa
CHEMBL2364096		70S ribosome	Staphylococcus aureus
CHEMBL2364103		70S ribosome	Streptococcus pyogenes
CHEMBL2364185		Apo-B 100 mRNA	Homo sapiens
CHEMBL3638364	A0A059UE90	Glycogen synthase kinase-3 beta splice variant X1	Bos taurus
CHEMBL3309115	A0A060INS8	Cathepsin H	Capra hircus
CHEMBL2424500	A0A072ZLE6	Transcriptional regulator MvfR	Pseudomonas aeruginosa PA14
CHEMBL3542437	A0A087X1C5	Putative cytochrome P450 2D7	Homo sapiens
CHEMBL3390825	A0A0A1P6P0	Lanosterol 14-alpha demethylase	Mucorales
CHEMBL3329	A0A0B6XPG9	Sortase B	Staphylococcus aureus subsp. aureus N315
CHEMBL3596081	A0A0C5K5S3	Fluoroquinolone resistance protein	Staphylococcus aureus
CHEMBL3559673	A0A0C7ACN7	2-heptyl-4(1H)-quinolone synthase PqsD	Pseudomonas aeruginosa
CHEMBL2366497	A0A0D1C8X8	Putative uncharacterized protein	Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)
CHEMBL3390824	A0A0D9MXW1	Lanosterol 14-alpha demethylase	Aspergillus
CHEMBL1287593	A0A0E1AED5	Penicillin-binding protein 4	Staphylococcus aureus (strain COL)
CHEMBL3707181	A0A0E7NXW5	Bifunctional ligase/repressor BirA	Staphylococcus aureus
CHEMBL3559638	A0A0H4FQ60	Plasmepsin V	Plasmodium vivax
CHEMBL3559639	A0A0K1CY61	Nonstructural protein NS3-4A	Hepatitis C virus
CHEMBL1075023	A0A0Z5X648	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
CHEMBL2321622	A0AVT1	Ubiquitin-like modifier-activating enzyme 6	Homo sapiens
CHEMBL5300	A0JN73	DNA topoisomerase	Bos taurus
CHEMBL5301	A0MJA4	Niemann-Pick C1-like 1 protein	Canis lupus familiaris
CHEMBL5302	A0MJA5	Niemann-Pick C1-like 1 protein	Macaca mulatta
CHEMBL6059	A0QNE0	DNA gyrase subunit B	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)
CHEMBL2010623	A0QVH7	1-deoxy-D-xylulose 5-phosphate reductoisomerase	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)
CHEMBL2163179	A0R666	HTH-type transcriptional regulator EthR	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)
CHEMBL3341581	A0SYQ0	Prostaglandin E synthase	Canis familiaris
CHEMBL1075033	A0T123	Calcium dependent protein kinase	Triticum aestivum
CHEMBL1255121	A0ZX81	Beta-lactamase SHV-72	Klebsiella pneumoniae
CHEMBL2021747	A1A4K5	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	Bos taurus
CHEMBL1075073	A1E3K9	Beta-lactamase SCO-1	Escherichia coli
CHEMBL2366401	A1XG20	Cytochrome P450 14alpha-demethylase	Penicillium digitatum
CHEMBL2366402	A1YYP7	Glutamine synthetase	Spinacia oleracea
CHEMBL4265	A1ZA98	CG8425-PA [Drosophila melanogaster]	Drosophila melanogaster
CHEMBL2365	A2AGL3	Ryanodine receptor 3	Mus musculus
CHEMBL3259499	A2AJ88	Patatin-like phospholipase domain-containing protein 7	Mus musculus
CHEMBL2094133	A2AMW3	GABA-A receptor; anion channel	Mus musculus
CHEMBL1795145	A2CF88	Arachidonate 15-lipoxygenase	Mus musculus
CHEMBL2362988	A2PZ98	Acetylcholinesterase	Pediculus humanus capitis
CHEMBL5303	A2RP81	PER-2 beta-lactamase	Citrobacter freundii
CHEMBL4893	A3EZI9	Hepatitis C virus NS3 protease/helicase	Hepatitis C virus
