chembl_id	accession	pref_name	organism	l1	l2	l3	l4	l5	l6	l7	l8
CHEMBL2363135		Bacterial 70S ribosome	Bacteria	Unclassified protein							
CHEMBL2363853		70S ribosome	Streptococcus pneumoniae	Unclassified protein							
CHEMBL2363965		70S ribosome	Mycobacterium tuberculosis	Unclassified protein							
CHEMBL2364022		70S ribosome	Pseudomonas aeruginosa	Unclassified protein							
CHEMBL2364096		70S ribosome	Staphylococcus aureus	Unclassified protein							
CHEMBL2364103		70S ribosome	Streptococcus pyogenes	Unclassified protein							
CHEMBL2363135		Bacterial 70S ribosome	Bacteria	Unclassified protein							
CHEMBL2363853		70S ribosome	Streptococcus pneumoniae	Unclassified protein							
CHEMBL2363965		70S ribosome	Mycobacterium tuberculosis	Unclassified protein							
CHEMBL2364022		70S ribosome	Pseudomonas aeruginosa	Unclassified protein							
CHEMBL2364096		70S ribosome	Staphylococcus aureus	Unclassified protein							
CHEMBL2364103		70S ribosome	Streptococcus pyogenes	Unclassified protein							
CHEMBL2363135		Bacterial 70S ribosome	Bacteria	Unclassified protein							
CHEMBL2363853		70S ribosome	Streptococcus pneumoniae	Unclassified protein							
CHEMBL2363965		70S ribosome	Mycobacterium tuberculosis	Unclassified protein							
CHEMBL2364022		70S ribosome	Pseudomonas aeruginosa	Unclassified protein							
CHEMBL2364096		70S ribosome	Staphylococcus aureus	Unclassified protein							
CHEMBL2364103		70S ribosome	Streptococcus pyogenes	Unclassified protein							
CHEMBL2364185		Apo-B 100 mRNA	Homo sapiens	Unclassified protein							
CHEMBL3638364	A0A059UE90	Glycogen synthase kinase-3 beta splice variant X1	Bos taurus	Unclassified protein							
CHEMBL3309115	A0A060INS8	Cathepsin H	Capra hircus	Unclassified protein							
CHEMBL2424500	A0A072ZLE6	Transcriptional regulator MvfR	Pseudomonas aeruginosa PA14	Unclassified protein							
CHEMBL3542437	A0A087X1C5	Putative cytochrome P450 2D7	Homo sapiens	Enzyme	Oxidoreductase						
CHEMBL3390825	A0A0A1P6P0	Lanosterol 14-alpha demethylase	Mucorales	Enzyme	Cytochrome P450	Cytochrome P450 family 51	Cytochrome P450 family 51A	Cytochrome P450 51A1			
CHEMBL3329	A0A0B6XPG9	Sortase B	Staphylococcus aureus subsp. aureus N315	Enzyme							
